Timestamp (UTC),Open,High,Low,Close,RB Jun23-Jul23 Calendar: Volume,RB Jun23-Jul23 Calendar: ATR ‌ATR‌ (14)
2023-02-16 16:30:00,0.0354,0.0357,0.0354,0.0356,125,5.846129404
2023-02-16 16:45:00,0.0357,0.0364,0.0357,0.0364,61,5.999977304
2023-02-16 17:00:00,0.0364,0.0366,0.0358,0.0358,52,6.142836068
2023-02-16 17:15:00,0.0358,0.0359,0.0349,0.0350,164,6.418347778
2023-02-16 17:30:00,0.0352,0.0358,0.0345,0.0351,143,6.888465793
2023-02-16 17:45:00,0.0352,0.0355,0.0350,0.0353,204,6.75357538
2023-02-16 18:00:00,0.0352,0.0354,0.0346,0.0351,268,6.84260571
2023-02-16 18:15:00,0.0348,0.0353,0.0347,0.0348,116,6.782419588
2023-02-16 18:30:00,0.0347,0.0347,0.0337,0.0340,217,7.083675331
2023-02-16 18:45:00,0.0340,0.0340,0.0337,0.0338,117,6.791984236
2023-02-16 19:00:00,0.0339,0.0340,0.0336,0.0337,105,6.592556791
2023-02-16 19:15:00,0.0337,0.0338,0.0330,0.0336,661,6.693088449
2023-02-16 19:30:00,0.0336,0.0339,0.0332,0.0333,48,6.715010702
2023-02-16 19:45:00,0.0334,0.0341,0.0334,0.0341,44,6.806795652
2023-02-16 20:00:00,0.0339,0.0340,0.0337,0.0337,15,6.606310248
2023-02-16 20:15:00,0.0337,0.0337,0.0335,0.0336,6,6.277288088
2023-02-16 20:45:00,0.0339,0.0343,0.0339,0.0343,6,6.328910367
2023-02-16 21:00:00,0.0342,0.0342,0.0339,0.0339,7,6.162559627
2023-02-16 21:15:00,0.0336,0.0338,0.0335,0.0335,7,6.008091082
2023-02-16 21:30:00,0.0334,0.0339,0.0331,0.0332,63,6.15037029
2023-02-16 21:45:00,0.0332,0.0342,0.0332,0.0341,78,6.425343841
2023-02-17 02:45:00,0.0333,0.0333,0.0332,0.0332,2,6.609247852
2023-02-17 05:00:00,0.0328,0.0328,0.0328,0.0328,27,6.422873006
2023-02-17 05:15:00,0.0328,0.0328,0.0328,0.0328,2,5.964096363
2023-02-17 05:45:00,0.0327,0.0327,0.0327,0.0327,4,5.609518051
2023-02-17 06:00:00,0.0327,0.0328,0.0326,0.0328,9,5.351695333
2023-02-17 06:15:00,0.0327,0.0327,0.0326,0.0326,3,5.112288523
2023-02-17 06:30:00,0.0325,0.0325,0.0323,0.0323,10,4.961410772
2023-02-17 06:45:00,0.0323,0.0323,0.0323,0.0323,1,4.607024288
2023-02-17 07:00:00,0.0322,0.0322,0.0320,0.0320,18,4.492236839
2023-02-17 07:15:00,0.0318,0.0320,0.0315,0.0315,12,4.528505636
2023-02-17 07:30:00,0.0322,0.0333,0.0322,0.0332,81,5.490755234
2023-02-17 07:45:00,0.0323,0.0328,0.0323,0.0328,61,5.741415574
2023-02-17 08:00:00,0.0328,0.0329,0.0325,0.0326,237,5.617028747
2023-02-17 08:15:00,0.0326,0.0326,0.0325,0.0325,219,5.28724098
2023-02-17 08:30:00,0.0325,0.0325,0.0319,0.0319,66,5.338152338
2023-02-17 08:45:00,0.0319,0.0319,0.0315,0.0316,35,5.242570028
2023-02-17 09:00:00,0.0319,0.0319,0.0308,0.0311,118,5.653815026
2023-02-17 09:15:00,0.0318,0.0318,0.0318,0.0318,1,5.749971096
2023-02-17 09:30:00,0.0315,0.0315,0.0315,0.0315,2,5.553544589
2023-02-17 09:45:00,0.0311,0.0312,0.0310,0.0310,33,5.51400569
2023-02-17 10:15:00,0.0310,0.0310,0.0310,0.0310,2,5.120148141
2023-02-17 10:45:00,0.0314,0.0314,0.0309,0.0311,17,5.111566131
2023-02-17 11:15:00,0.0310,0.0311,0.0301,0.0308,133,5.460739978
2023-02-17 11:45:00,0.0304,0.0309,0.0301,0.0309,20,5.642115694
2023-02-17 12:00:00,0.0310,0.0314,0.0310,0.0314,18,5.596250287
2023-02-17 12:15:00,0.0315,0.0315,0.0315,0.0315,2,5.267946695
2023-02-17 12:30:00,0.0314,0.0315,0.0314,0.0315,2,4.96309336
2023-02-17 12:45:00,0.0317,0.0322,0.0317,0.0322,19,5.108586692
2023-02-17 13:00:00,0.0321,0.0321,0.0317,0.0317,51,5.100830499
2023-02-17 13:15:00,0.0317,0.0323,0.0314,0.0323,79,5.379342606
2023-02-17 13:30:00,0.0324,0.0333,0.0324,0.0331,75,5.709389563
2023-02-17 13:45:00,0.0331,0.0337,0.0330,0.0333,156,5.801576023
2023-02-17 14:00:00,0.0333,0.0340,0.0323,0.0340,184,6.60146345
2023-02-17 14:15:00,0.0342,0.0349,0.0340,0.0342,273,6.772787489
2023-02-17 14:30:00,0.0340,0.0346,0.0340,0.0341,52,6.717588383
2023-02-17 14:45:00,0.0339,0.0339,0.0337,0.0338,181,6.523474927
2023-02-17 15:00:00,0.0338,0.0343,0.0336,0.0343,54,6.557512432
2023-02-17 15:15:00,0.0340,0.0344,0.0340,0.0344,46,6.374832973
2023-02-17 15:30:00,0.0346,0.0355,0.0344,0.0347,139,6.705202046
2023-02-17 15:45:00,0.0349,0.0353,0.0349,0.0353,112,6.654830471
2023-02-17 16:00:00,0.0353,0.0356,0.0350,0.0352,91,6.608056866
2023-02-17 16:15:00,0.0352,0.0356,0.0348,0.0348,54,6.707481376
2023-02-17 16:30:00,0.0348,0.0356,0.0348,0.0350,74,6.799804135
2023-02-17 16:45:00,0.0347,0.0350,0.0347,0.0350,50,6.528389554
2023-02-17 17:00:00,0.0350,0.0352,0.0346,0.0352,41,6.490647443
2023-02-17 17:15:00,0.0352,0.0352,0.0346,0.0346,134,6.455601197
2023-02-17 17:30:00,0.0350,0.0350,0.0347,0.0347,35,6.280201111
2023-02-17 17:45:00,0.0349,0.0350,0.0346,0.0347,43,6.117329603
2023-02-17 18:00:00,0.0342,0.0342,0.0336,0.0338,24,6.466091774
2023-02-17 18:15:00,0.0331,0.0346,0.0330,0.0344,35,7.147085219
2023-02-17 18:30:00,0.0347,0.0350,0.0337,0.0347,60,7.565150561
2023-02-17 18:45:00,0.0347,0.0350,0.0345,0.0349,48,7.381925521
2023-02-17 19:00:00,0.0350,0.0352,0.0343,0.0344,178,7.497502269
2023-02-17 19:15:00,0.0347,0.0359,0.0345,0.0350,424,8.033394964
2023-02-17 19:30:00,0.0350,0.0350,0.0345,0.0346,97,7.816723895
2023-02-17 19:45:00,0.0347,0.0353,0.0346,0.0352,21,7.758386474
2023-02-17 20:00:00,0.0349,0.0349,0.0347,0.0348,19,7.561358869
2023-02-17 20:15:00,0.0349,0.0350,0.0349,0.0350,17,7.16411895
2023-02-17 20:30:00,0.0350,0.0354,0.0350,0.0354,34,6.938110453
2023-02-17 20:45:00,0.0353,0.0359,0.0353,0.0357,78,6.871102564
2023-02-17 21:00:00,0.0357,0.0357,0.0357,0.0357,3,6.380309524
2023-02-17 21:15:00,0.0357,0.0357,0.0357,0.0357,3,5.924573129
2023-02-17 21:45:00,0.0354,0.0355,0.0353,0.0354,8,5.78710362
2023-02-19 23:45:00,0.0348,0.0348,0.0348,0.0348,1,5.802310504
2023-02-20 03:30:00,0.0356,0.0357,0.0356,0.0357,2,6.030716897
2023-02-20 06:45:00,0.0356,0.0356,0.0355,0.0355,5,5.742808547
2023-02-20 07:15:00,0.0358,0.0358,0.0358,0.0358,3,5.546893651
2023-02-20 08:00:00,0.0357,0.0357,0.0356,0.0356,4,5.293544104
2023-02-20 08:45:00,0.0354,0.0354,0.0354,0.0354,3,5.058290954
2023-02-20 09:00:00,0.0353,0.0353,0.0353,0.0353,2,4.768413029
2023-02-20 09:15:00,0.0361,0.0361,0.0358,0.0358,28,4.999240669
2023-02-20 09:30:00,0.0360,0.0365,0.0360,0.0365,17,5.14215205
2023-02-20 09:45:00,0.0365,0.0367,0.0365,0.0366,12,4.917712618
2023-02-20 10:00:00,0.0364,0.0364,0.0363,0.0363,3,4.780733145
2023-02-20 11:30:00,0.0361,0.0362,0.0356,0.0356,18,4.939252206
2023-02-20 11:45:00,0.0359,0.0359,0.0358,0.0358,4,4.800734192
2023-02-20 12:00:00,0.0358,0.0358,0.0357,0.0357,2,4.529253178
2023-02-20 12:45:00,0.0360,0.0360,0.0360,0.0360,1,4.420020808
2023-02-20 13:00:00,0.0361,0.0361,0.0361,0.0361,1,4.175733608
2023-02-20 13:15:00,0.0370,0.0370,0.0369,0.0369,11,4.520324064
2023-02-20 13:30:00,0.0369,0.0374,0.0368,0.0373,161,4.626015202
2023-02-20 13:45:00,0.0372,0.0376,0.0372,0.0375,29,4.581299831
2023-02-20 14:00:00,0.0376,0.0381,0.0376,0.0378,25,4.682635557
2023-02-20 14:15:00,0.0375,0.0375,0.0373,0.0374,3,4.705304446
2023-02-20 14:30:00,0.0373,0.0373,0.0372,0.0372,8,4.512068414
2023-02-20 15:00:00,0.0372,0.0383,0.0372,0.0383,77,4.975492099
2023-02-20 15:15:00,0.0384,0.0386,0.0380,0.0380,54,5.048671235
2023-02-20 15:30:00,0.0381,0.0381,0.0380,0.0380,18,4.759480432
2023-02-20 15:45:00,0.0380,0.0384,0.0380,0.0384,44,4.70523183
